word,encoding
A,0
AADIA,1
AAPARECIDA,2
AARAO,3
AARDOOM,4
AARDOON,5
AARECIDO,6
AARON,7
AARTS,8
AAVA,9
ABACHERLI,10
ABACHI,11
ABAD,12
ABADE,13
ABADES,14
ABADESSA,15
ABADI,16
ABADIA,17
ABADIAS,18
ABADIE,19
ABADIER,20
ABADINO,21
ABADIO,22
ABADY,23
ABAETE,24
ABAGE,25
ABAI,26
ABAKUMOW,27
ABAL,28
ABALADA,29
ABALAEZ,30
ABALDINO,31
ABALEM,32
ABALEN,33
ABALO,34
ABANCA,35
ABAQUE,36
ABAQUI,37
ABARCA,38
ABARCINO,39
ABARRASIM,40
ABAS,41
ABASCAL,42
ABASI,43
ABASSE,44
ABASTO,45
ABATE,46
ABATENIO,47
ABATH,48
ABATI,49
ABATT,50
ABATTI,51
ABATTTI,52
ABAUNILDO,53
ABAZIO,54
ABBA,55
ABBAD,56
ABBADE,57
ABBADIE,58
ABBADY,59
ABBAGLIATO,60
ABBARA,61
ABBAS,62
ABBASI,63
ABBATE,64
ABBATEMARCO,65
ABBATEPAULO,66
ABBDDAALLAAHR,67
ABBEGG,68
ABBEHUSEN,69
ABBERGG,70
ABBES,71
ABBIA,72
ABBIS,73
ABBITTI,74
ABBONDANZA,75
ABBOTT,76
ABBOUD,77
ABBRA,78
ABBRUZZEZE,79
ABBRUZZINI,80
ABBUD,81
ABCELI,82
ABCELIO,83
ABCLI,84
ABD,85
ABDA,86
ABDAIR,87
ABDAL,88
ABDALA,89
ABDALAG,90
ABDALAH,91
ABDALES,92
ABDALH,93
ABDALLA,94
ABDALLAH,95
ABDALLHA,96
ABDALTER,97
ABDANUR,98
ABDAO,99
ABDARLEY,100
ABDAS,101
ABDAU,102
ABDCARI,103
ABDEEL,104
ABDEL,105
ABDELCIO,106
ABDELNOUR,107
ABDELNUR,108
ABDEMAS,109
ABDEME,110
ABDEMUN,111
ABDENAGO,112
ABDENAGUE,113
ABDENALDO,114
ABDENAQUE,115
ABDENARDO,116
ABDENEGO,117
ABDENES,118
ABDENICO,119
ABDENIGO,120
ABDENOR,121
ABDENUR,122
ABDER,123
ABDERAMAN,124
ABDERAMANN,125
ABDERMAM,126
ABDERMAN,127
ABDERVAL,128
ABDIA,129
ABDIAN,130
ABDIANO,131
ABDIAS,132
ABDIEL,133
ABDIELSON,134
ABDIENE,135
ABDIK,136
ABDINAM,137
ABDINEL,138
ABDISIO,139
ABDLA,140
ABDLHADI,141
ABDNAGO,142
ABDO,143
ABDOANES,144
ABDOM,145
ABDOMIR,146
ABDON,147
ABDONIAS,148
ABDONILDO,149
ABDONOR,150
ABDORA,151
ABDORAL,152
ABDOU,153
ABDRONIL,154
ABDU,155
ABDUANI,156
ABDUCH,157
ABDUL,158
ABDULAHAD,159
ABDULFATAH,160
ABDULHAK,161
ABDULIO,162
ABDULJABAR,163
ABDULMACIH,164
ABDULMASSIH,165
ABDUNI,166
ABDZUWE,167
ABE,168
ABEATO,169
ABECASSIS,170
ABECH,171
ABECI,172
ABECIO,173
ABECOLOM,174
ABECOST,175
ABED,176
ABEDALA,177
ABEDALOT,178
ABEDE,179
ABEDENAGO,180
ABEDENEGO,181
ABEDENEIGO,182
ABEDENES,183
ABEDENIGO,184
ABEDENIO,185
ABEDIAS,186
ABEDIEL,187
ABEDNEGO,188
ABEDO,189
ABEDON,190
ABEDONE,191
ABEDORAL,192
ABEG,193
ABEGAI,194
ABEGAIL,195
ABEGAIR,196
ABEGAO,197
ABEGAR,198
ABEGG,199
ABEGUAR,200
ABEI,201
ABEIDE,202
ABEIGAIR,203
ABEIJES,204
ABEILAR,205
ABEILARD,206
ABEILDA,207
ABEILDO,208
ABEILTON,209
ABEIRO,210
ABEJE,211
ABEL,212
ABELA,213
ABELACIR,214
ABELAEZ,215
ABELAIR,216
ABELANI,217
ABELANICE,218
ABELAR,219
ABELARD,220
ABELARDA,221
ABELARDES,222
ABELARDI,223
ABELARDIA,224
ABELARDO,225
ABELARIO,226
ABELBECK,227
ABELCIDES,228
ABELCIO,229
ABELDT,230
ABELENDA,231
ABELENTANE,232
ABELES,233
ABELFRAN,234
ABELHA,235
ABELHAN,236
ABELHANA,237
ABELHAO,238
